country,year,exports,imports,gdp,net_exports
BDI,2007,92221560.1934208,433983785.48887,1356199387.42308,-341762225.29544926
BDI,2008,169242769.206768,591543748.571766,1611835857.04588,-422300979.364998
BDI,2009,117576044.108053,520184959.36698,1781455139.85931,-402608915.258927
BDI,2010,197117146.938277,605576363.596017,2032135192.01248,-408459216.65774
BDI,2011,196752237.563967,764650773.88168,2235820809.32006,-567898536.317713
BDI,2012,226242999.918978,793552538.140016,2333341334.45753,-567309538.221038
BDI,2013,222979901.007493,919568792.802472,2451606632.29246,-696588891.794979
BDI,2014,235295491.81793,928056749.066164,2705783329.80483,-692761257.248234
BDI,2015,199192399.041752,509708728.089859,3104003546.26497,-310516329.048107
BDI,2016,168837908.896205,440550588.776769,2644487776.50077,-271712679.880564
BDI,2017,164138992.722486,441594730.679213,2723586962.84034,-277455737.956727
BDI,2018,151646759.797055,557815769.466995,2667182199.51333,-406169009.66994
BDI,2019,133258587.053003,614607193.688784,2576518879.82353,-481348606.635781
BDI,2020,120542434.078728,588865206.251533,2649680261.44299,-468322772.172805
BDI,2021,138797984.687655,661150004.205175,2775798697.46022,-522352019.51752007
BDI,2022,165971200.659665,779398863.881402,3338722827.65691,-613427663.221737
BDI,2023,139067146.383838,642834305.392671,2642161668.85211,-503767159.008833
BEN,1960,13852022.2718479,27392931.4762288,226195578.434497,-13540909.2043809
BEN,1961,10801828.2565992,22470097.8881596,235668220.508202,-11668269.631560398
BEN,1962,8317363.65794275,23547276.9251727,236434954.038578,-15229913.267229952
BEN,1963,9703491.99266297,29521377.126378,253927697.25805,-19817885.13371503
BEN,1964,13861515.0554071,33034386.5030094,269819005.87814,-19172871.4476023
BEN,1965,21069296.1775784,43212948.8252093,289908680.426395,-22143652.647630896
BEN,1966,20739912.1478455,49061961.8359099,302925235.151997,-28322049.688064404
BEN,1967,23474430.0040027,60547019.9467288,306221953.104911,-37072589.942726105
BEN,1968,30461095.5550875,62251310.3584956,326323105.26476,-31790214.8034081
BEN,1969,38939715.9124599,70874406.5167359,330748244.539574,-31934690.604275994
BEN,1970,50633276.2786263,81609754.6678712,333627713.494438,-30976478.389244907
BEN,1971,59595413.8093809,93259582.7959829,335073027.54117,-33664168.986602
BEN,1972,59023784.7218234,109969550.679458,410331856.991218,-50945765.957634605
BEN,1973,78995257.9259981,130886433.37169,504376074.185709,-51891175.4456919
BEN,1974,79408583.8002942,163593500.812373,554654860.702577,-84184917.0120788
BEN,1975,98337358.6004389,226162498.384372,676870140.341529,-127825139.7839331
BEN,1976,90731937.5535587,216705687.162128,698408261.922237,-125973749.6085693
BEN,1977,121349823.276191,260873185.254424,750049778.84069,-139523361.978233
BEN,1978,153492202.684211,320872361.568629,928843469.431727,-167380158.88441804
BEN,1979,207784726.879978,439163941.3994,1186231019.82044,-231379214.519422
BEN,1980,222261839.296282,524469593.851615,1405251846.54048,-302207754.555333
BEN,1981,205681907.570707,567561866.310706,1291120188.43104,-361879958.73999906
BEN,1982,225297401.750903,508205555.358072,1267778670.35902,-282908153.607169
BEN,1983,150766893.851437,345886016.984206,1095348199.43911,-195119123.13276902
BEN,1984,205805472.710193,325136016.576985,1051134008.78979,-119330543.866792
BEN,1985,247338455.095396,383239093.31471,1045712789.14884,-135900638.219314
BEN,1986,222807317.486565,435776312.667196,1336102025.27763,-212968995.18063098
